Date,Time,CminusO,DCminusDO,DOminusYC
1130121,1100,6,21,-28
1130121,1105,-5,21,-28
1130121,1110,13,21,-28
1130121,1115,4,21,-28
1130121,1120,8,21,-28
1130121,1125,-2,21,-28
1130121,1130,0,21,-28
1130121,1135,-2,21,-28
1130121,1140,1,21,-28
1130121,1145,3,21,-28
1130121,1150,-1,21,-28
1130121,1155,-1,21,-28
1130121,1200,0,21,-28
1130121,1205,0,21,-28
1130121,1210,0,21,-28
1130121,1215,2,21,-28
1130121,1220,-18,21,-28
1130121,1225,3,21,-28
1130121,1230,-2,21,-28
1130121,1235,0,21,-28
1130121,1240,4,21,-28
1130121,1245,7,21,-28
1130121,1250,-1,21,-28
1130121,1255,1,21,-28
1130121,1300,-5,21,-28
1130121,1305,4,21,-28
1130121,1310,3,21,-28
1130121,1315,-9,21,-28
1130121,1320,-4,21,-28
1130121,1325,4,21,-28
1130121,1330,-1,21,-28
1130121,1335,0,21,-28
1130121,1340,0,21,-28
1130121,1345,1,21,-28
1130122,850,9,29,18
1130122,855,-4,29,18
1130122,900,-3,29,18
1130122,905,-8,29,18
1130122,910,-1,29,18
1130122,915,4,29,18
1130122,920,-9,29,18
1130122,925,1,29,18
1130122,930,-3,29,18
1130122,935,-30,29,18
1130122,940,4,29,18
1130122,945,3,29,18
1130122,950,0,29,18
1130122,955,0,29,18
1130122,1000,-2,29,18
1130122,1005,5,29,18
1130122,1010,4,29,18
1130122,1015,-3,29,18
1130122,1020,9,29,18
1130122,1025,9,29,18
1130122,1030,9,29,18
1130122,1035,-4,29,18
1130122,1040,7,29,18
1130122,1045,1,29,18
1130122,1050,-2,29,18
1130122,1055,-3,29,18
1130122,1100,0,29,18
1130122,1105,4,29,18
1130122,1110,5,29,18
1130122,1115,21,29,18
1130122,1120,1,29,18
1130122,1125,17,29,18
1130122,1130,-7,29,18
1130122,1135,-3,29,18
1130122,1140,-1,29,18
1130122,1145,4,29,18
1130122,1150,5,29,18
1130122,1155,-8,29,18
1130122,1200,-9,29,18
1130122,1205,-1,29,18
1130122,1210,1,29,18
